gene,log2FC,pvalue,padj
TAF8,0.27824519446777884,3.7184046666988594e-05,0.18506512857527851
AL391058.1,-0.34373896498798473,2.3905299086205406e-05,0.18506512857527851
ST13P15,-0.47596148488911805,4.0424886102070446e-05,0.18506512857527851
ACOT13,0.2692752699545755,3.640211243873426e-05,0.18506512857527851
DSN1,0.1783744750392513,0.001538830695164619,0.3152050722833052
FTSJ1,-0.1603032562985227,0.0015926207184442007,0.3152050722833052
HNRNPUP1,-0.4773513658557391,0.0006866454568772737,0.3152050722833052
RPL9P7,-0.36312621719409677,0.0004497095190869783,0.3152050722833052
HNRNPA1P10,-0.26636183022134574,0.0004447863939084175,0.3152050722833052
CIAO1,0.12366163136076658,0.0002736640426890454,0.3152050722833052
AC024940.2,-0.8386415106230478,0.00039754900651104244,0.3152050722833052
RPL41P1,-0.7162061555890737,0.0004829280425377189,0.3152050722833052
LIPE-AS1,-0.7264187175190786,0.0001322217614137869,0.3152050722833052
TMX1,0.20943309756894202,0.0011930723017941705,0.3152050722833052
AC006238.2,0.7252391765798678,0.0014609876809859423,0.3152050722833052
SRRM5,-0.4865970895147247,0.001277593800803663,0.3152050722833052
KIF9-AS1,0.2516478576788277,0.0013603304604204536,0.3152050722833052
AC092115.1,-0.22865837581843085,0.001415358432283717,0.3152050722833052
RPL26P19,-0.32739756992402214,0.0011461653060354092,0.3152050722833052
N4BP2L2,0.21921692883949895,0.0007441596513562078,0.3152050722833052
DUSP18,0.4003898831661683,0.000776091250589651,0.3152050722833052
COA7,0.24864636021545738,0.0013422745748519628,0.3152050722833052
EIF3LP3,-0.58332456365325,0.00037904938323660354,0.3152050722833052
TVP23A,0.540162982367657,0.0007149182167400413,0.3152050722833052
THAP4,-0.21018216736443662,0.0009889267653761754,0.3152050722833052
ISCA1P1,-0.32009294950765455,0.0012641463737031468,0.3152050722833052
PDK3,0.2750655658094221,0.00034069641781795274,0.3152050722833052
YBX1P2,-0.5531814574553469,0.0008769686310755894,0.3152050722833052
RPL23P8,-0.7707663751947527,0.0012497222664173459,0.3152050722833052
RPL35P1,-0.6135118721774067,0.0010414123976340128,0.3152050722833052
DUSP4,-0.6053621592693288,0.0010845755671857356,0.3152050722833052
SPOUT1,-0.4124303131251814,0.0008309058136290805,0.3152050722833052
MYCBPAP,-0.4538554897547291,0.0012078150984711849,0.3152050722833052
AL162151.2,-0.7794246547209713,0.0015112755127572692,0.3152050722833052
IL18,0.4205723865498294,0.0010623249434042878,0.3152050722833052
